link,address,apartment_name,sector,price,price_sqft,super_area,bedrooms,bathroom,balcony,additional_rooms,age_possession,floor,floor_num,total_floors,furnishing_type,facing,num_parking,features,servant_room,study_room,pooja_room,store_room,luxury_score,luxury_category,parking
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-royal-apartment-sector-56-gurgaon-950-sq-ft-spid-G81479441,"Royal Apartment
Sector 56, Gurgaon",royal apartment,sector 56,1.49,11045.2,1349.0,2,2,1,Others,5 to 10 year old,7th   of 7 Floors,7,7,Semifurnished,East,1 Covered,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",0,0,0,0,20,medium,1
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-vatika-the-seven-lamps-sector-82-gurgaon-2425-sq-ft-r1-spid-M78927161,"Vatika The Seven Lamps
Sector 82, Gurgaon",vatika the seven lamps,sector 82,2.87,11835.1,2425.0,4,4,3,"Servant Room,Store Room",1 to 5 year old,4th   of 16 Floors,4,16,Semifurnished,South,1 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",1,0,0,1,54,high,1
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-the-roselia-sector-95a-gurgaon-514-sq-ft-spid-O80737583,"Signature The Roselia
Sector 95A, Gurgaon",signature the roselia,sector 95a,0.575,7873.9,730.2633999999999,2,2,2,Others,1 to 5 year old,6th   of 19 Floors,6,19,Unfurnished,North,1 Open,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",0,0,0,0,28,medium,1
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sare-homes-sector-92-gurgaon-1326-sq-ft-spid-V80695743,"Sare Homes
Sector 92, Gurgaon",sare homes,sector 92,1.2,9049.8,1326.0,3,2,3,,1 to 5 year old,14th   of 20 Floors,14,20,na,East,1 Covered,"['Intercom Facility', 'Maintenance Staff', 'No open drainage around', 'Visitor Parking', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant']",0,0,0,0,20,medium,1
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-wellington-estate-dlf-phase-5-gurgaon-1740-sq-ft-spid-N80276981,"DLF Wellington Estate
DLF Phase 5, Gurgaon",dlf wellington estate,dlf phase 5,4.0,22988.5,1740.0,4,4,3,Store Room,10+ year old,10th   of 14 Floors,10,14,Semifurnished,North-East,1 Covered,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Centrally Air Conditioned', 'Water purifier', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",0,0,0,1,53,high,1
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-vatika-sovereign-park-sector-99-gurgaon-3345-sq-ft-spid-R80299441,"Vatika Sovereign Park
Sector 99, Gurgaon",vatika sovereign park,sector 99,4.2,12556.1,3345.0,4,4,3,Servant Room,0 to 1 year old,4th   of 12 Floors,4,12,Semifurnished,East,2 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",1,0,0,0,57,high,2
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-tata-primanti-sector-72-gurgaon-2625-sq-ft-r1-spid-T74785721,"Tata Primanti
Sector 72, Gurgaon",tata primanti,sector 72,4.75,18095.2,2625.0,4,5,3+,"Servant Room,Study Room,Pooja Room,Store Room",1 to 5 year old,12nd   of 40 Floors,12,40,Semifurnished,North-East,2 Covered,"['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",1,1,1,1,68,high,2
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-mgf-emerald-estate-sector-65-gurgaon-1350-sq-ft-spid-Q80968539,"Emaar MGF Emerald Estate
Sector 65, Gurgaon",emaar mgf emerald estate,sector 65,2.5,18518.5,1350.0,3,3,3+,Servant Room,1 to 5 year old,6th   of 13 Floors,6,13,Semifurnished,East,1 Covered,"['Power Back-up', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Piped-gas', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",1,0,0,0,37,medium,1
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-m3m-golfestate-sector-65-gurgaon-5160-sq-ft-spid-U80947217,"M3M Golfestate
Sector 65, Gurgaon",m3m golfestate,sector 65,12.45,24127.9,5160.0,4,4,3+,Servant Room,1 to 5 year old,8th   of 40 Floors,8,40,Semifurnished,North-East,3 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",1,0,0,0,40,medium,3
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bestech-altura-sector-79-gurgaon-2150-sq-ft-spid-N81526513,"Bestech Altura
Sector 79, Gurgaon",bestech altura,sector 79,2.6,12093.0,2150.0,3,4,3+,Servant Room,0 to 1 year old,14th   of 20 Floors,14,20,Unfurnished,North-East,1 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",1,0,0,0,53,high,1
