link,price,super_area,area_units
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-688-sq-ft-spid-P81369919,84.5 Lac,82.644,sq.m.
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-634-sq-ft-spid-E80763997,85 Lac,83.78,sq.m.
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-pink-town-house-dlf-phase-3-gurgaon-1350-sq-ft-spid-X76758761,2.15 Cr,213.0,sq.yards
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-634-sq-ft-spid-V81470563,84.2 Lac,83.78,sq.m.
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-634-sq-ft-spid-I80763729,84 Lac,83.78,sq.m.
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-634-sq-ft-spid-A80763453,83 Lac,83.78,sq.m.
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-birla-navya-sector-63a-gurgaon-2475-sq-ft-r1-spid-S78613053,3.25 Cr,343.75,sq.yards
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-sector-82-gurgaon-3240-sq-ft-spid-O81452033,3.4 Cr,360,sq.yards
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-central-park-flower-valley-flamingo-floors-sector-33-sohna-gurgaon-1737-sq-ft-spid-Z81021005,1.82 Cr,193,sq.yards
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-central-park-flower-valley-flamingo-floors-sector-33-sohna-gurgaon-1620-sq-ft-spid-B81489017,2.35 Cr,255.6,sq.yards
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-oriental-homes-sushant-lok-phase-3-gurgaon-1722-sq-ft-spid-T79933525,2.4 Cr,271.7312,sq.yards
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-emaar-emerald-hills-sector-65-gurgaon-3150-sq-ft-spid-R78240731,2.9 Cr,350,sq.yards
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-emerald-hills-sector-65-gurgaon-2403-sq-ft-spid-V79513983,2.95 Cr,379.14,sq.yards
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bptp-astaire-gardens-sector-70a-gurgaon-1764-sq-ft-r1-spid-T74019133,2.11 Cr,278.32,sq.yards
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-woodstock-floors-nirvana-country-gurgaon-1728-sq-ft-spid-Y81456475,2.05 Cr,272.64,sq.yards
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-emaar-emerald-hills-sector-65-gurgaon-3150-sq-ft-spid-Z78598109,3.7 Cr,497.0,sq.yards
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vatika-emilia-floors-sector-83-gurgaon-2160-sq-ft-spid-K81392091,1.62 Cr,240,sq.yards
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-bptp-amstoria-sector-102-gurgaon-4455-sq-ft-r4-spid-O75085129,4.5 Cr,702.9,sq.yards
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sector-82-gurgaon-2700-sq-ft-spid-M79988867,1.3 Cr,375.0,sq.yards
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sagar-homes-5-sector-105-gurgaon-70-sq-ft-spid-N81380761,28 Lac,99.39999999999999,sq.ft.
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-diplomats-golf-link-sector-110-gurgaon-604-sq-ft-spid-Y81077849,1.1 Cr,604,sq.ft.
https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-avl-36-gurgaon-sector-36a-gurgaon-406-sq-ft-spid-N81004911,67 Lac,406,sq.ft.
https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-signature-global-city-81-sector-81-gurgaon-320-sq-ft-spid-O80103619,50 Lac,320,sq.ft.
https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-avl-36-gurgaon-sector-36a-gurgaon-391-sq-ft-spid-U80523493,72 Lac,485.64,sq.ft.
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pyramid-heights-sector-85-gurgaon-575-sq-ft-spid-M80800935,85 Lac,575,sq.ft.
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-andour-heights-sector-71-gurgaon-600-sq-ft-spid-C80272659,87 Lac,600,sq.ft.
https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-signature-global-solera-sector-107-gurgaon-350-sq-ft-spid-M80603913,50 Lac,350,sq.ft.
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-global-solera-sector-107-gurgaon-548-sq-ft-spid-F81020567,78 Lac,548,sq.ft.
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-andour-heights-sector-71-gurgaon-600-sq-ft-spid-M80780283,85 Lac,600,sq.ft.
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-signature-global-grand-iva-sector-103-gurgaon-645-sq-ft-spid-X80100821,91 Lac,644.54,sq.ft.
