sector,price,super_area,bedrooms,bathroom,balcony,age_possession,servant_room,luxury_category,parking,building_type
sector 67,4.7,2433.0,3,3,3+,1 to 5 year old,1,high,4,high-rise
sector 109,1.85,3712.0,4,5,3,5 to 10 year old,0,medium,1,mid-rise
sector 37d,1.54,1775.0,3,3,3,1 to 5 year old,0,medium,0,mid-rise
sector 70a,0.72,980.0,2,2,1,1 to 5 year old,0,high,1,mid-rise
sector 70a,0.69,980.0,2,2,1,1 to 5 year old,0,high,1,mid-rise
gwal pahari,6.5,5800.0,4,6,3+,1 to 5 year old,1,high,2,high-rise
sector 70a,0.69,980.0,2,2,1,1 to 5 year old,0,medium,1,mid-rise
sector 60,2.95,2272.0,2,2,2,5 to 10 year old,1,high,2,high-rise
sector 112,4.62,3978.84,3,3,3,1 to 5 year old,1,medium,2,high-rise
sector 1a imt manesar,1.7,2230.0,4,5,3,5 to 10 year old,1,medium,1,mid-rise
sector 89 a,2.16,1750.0,3,3,3+,0 to 1 year old,0,medium,2,mid-rise
sector 89 a,2.88,2650.0,3,4,3+,0 to 1 year old,1,medium,2,mid-rise
sector 49,2.85,2016.0,4,3,3+,5 to 10 year old,0,medium,1,mid-rise
sector 84,2.85,2272.0,4,4,3+,0 to 1 year old,0,high,2,low-rise
sector 53,27.26,7368.0,5,7,3+,1 to 5 year old,1,high,4,high-rise
sector 91,1.95,1420.0,3,3,3,5 to 10 year old,0,high,1,mid-rise
sector 91,1.95,1862.0,3,3,3+,5 to 10 year old,0,high,1,mid-rise
sector 89 a,2.15,1750.0,3,3,3+,0 to 1 year old,0,medium,2,mid-rise
sector 65,2.75,1516.0,2,2,3,1 to 5 year old,0,medium,1,high-rise
sector 102,2.55,1827.0,3,3,3,1 to 5 year old,0,medium,1,high-rise
sector 65,11.0,3734.0,4,5,3+,1 to 5 year old,1,medium,2,mid-rise
sector 67,4.3,2358.0,3,4,3,1 to 5 year old,1,high,2,mid-rise
sector 89 a,2.5,2150.0,3,4,3+,0 to 1 year old,1,medium,2,mid-rise
sector 60,3.95,2045.0,3,4,3+,1 to 5 year old,1,high,2,mid-rise
sector 66,6.5,3670.0,5,5,3,5 to 10 year old,1,low,3,mid-rise
sector 107,1.3,1366.0,2,2,3+,1 to 5 year old,0,medium,2,mid-rise
sector 102,2.6,1852.0,3,3,3,1 to 5 year old,0,medium,3,high-rise
sector 65,8.6,3510.0,3,4,3+,1 to 5 year old,1,high,3,high-rise
sector 48,6.95,2187.0,3,4,3,1 to 5 year old,1,high,2,mid-rise
sector 89 a,2.86,2650.0,3,4,3+,0 to 1 year old,1,medium,2,mid-rise
sector 67,4.39,2358.0,3,4,3,1 to 5 year old,1,medium,2,mid-rise
sector 67,6.1,3341.0,4,5,3,1 to 5 year old,1,medium,2,mid-rise
sector 81,1.5,1360.0,2,2,3+,1 to 5 year old,0,high,1,mid-rise
sector 107,0.52,778.16,2,2,2,5 to 10 year old,0,low,1,mid-rise
sector 102,2.5,1889.0,3,4,3+,5 to 10 year old,1,medium,1,high-rise
sector 102,3.1,2598.0,3,4,3,1 to 5 year old,1,medium,0,high-rise
sushant lok phase 1,8.8,3300.0,4,5,3+,under construction,0,medium,2,high-rise
sector 37c,2.62,3348.3599999999997,3,4,3+,5 to 10 year old,1,medium,2,mid-rise
sector 69,1.46,1326.0,3,2,2,5 to 10 year old,0,high,2,mid-rise
sector 79,2.64,1815.0,3,4,3+,1 to 5 year old,1,high,2,mid-rise
sector 109,2.38,2150.0,3,4,3+,0 to 1 year old,1,medium,2,high-rise
sector 92,1.85,2093.0,4,4,3,1 to 5 year old,1,medium,1,mid-rise
sector 102,2.7,1889.0,3,4,3+,1 to 5 year old,1,high,1,high-rise
sector 89,3.36,2345.0,3,4,3,under construction,1,medium,2,high-rise
sector 3,2.65,3763.0,4,4,3+,1 to 5 year old,0,high,2,mid-rise
sector 81,1.77,1660.0,3,2,3+,1 to 5 year old,0,high,1,mid-rise
sector 61,2.3,1365.0,2,2,2,5 to 10 year old,0,medium,1,high-rise
sector 102,2.33,1919.84,3,3,3,1 to 5 year old,0,high,2,high-rise
sector 99,2.95,3750.0,4,5,2,1 to 5 year old,1,medium,2,mid-rise
sector 3,1.65,1846.0,2,2,2,under construction,0,medium,0,mid-rise
sector 61,3.05,2000.0,3,3,3,1 to 5 year old,0,high,2,high-rise
sector 37d,1.44,1770.0,3,3,3+,1 to 5 year old,0,medium,1,mid-rise
sector 83,2.65,2698.0,3,3,3,5 to 10 year old,1,high,2,mid-rise
sector 61,3.25,1795.0,3,3,3,5 to 10 year old,0,high,2,high-rise
sector 95a,0.63,808.3208,2,2,2,1 to 5 year old,0,low,2,mid-rise
sector 102,1.45,915.0,2,2,2,1 to 5 year old,0,medium,3,high-rise
sector 67,5.35,3297.0,4,4,3+,1 to 5 year old,1,medium,2,high-rise
sector 102,1.85,1215.0,2,2,2,1 to 5 year old,0,medium,3,high-rise
sector 89 a,2.87,2650.0,3,4,3+,0 to 1 year old,1,medium,2,mid-rise
sector 89 a,2.92,2650.0,3,4,3+,0 to 1 year old,1,medium,2,mid-rise
sector 89 a,2.42,2150.0,3,4,3+,0 to 1 year old,1,medium,2,mid-rise
sector 61,4.15,3000.0,3,4,3,5 to 10 year old,1,medium,2,high-rise
sector 84,4.25,6032.16,4,6,3+,1 to 5 year old,1,medium,2,mid-rise
sector 108,1.85,2496.3599999999997,3,2,3+,1 to 5 year old,0,medium,2,mid-rise
sector 92,2.84,2325.0,4,4,3,0 to 1 year old,1,medium,2,mid-rise
sector 37c,1.4,1379.0,2,2,3,5 to 10 year old,0,medium,1,mid-rise
sector 81,4.5,4927.4,4,4,3+,1 to 5 year old,1,high,2,mid-rise
sector 65,7.5,3117.0,3,4,3+,5 to 10 year old,1,high,2,high-rise
sector 3,2.45,3763.0,4,4,3+,0 to 1 year old,0,medium,2,mid-rise
sector 3,1.35,1444.0,2,2,3,0 to 1 year old,0,medium,1,mid-rise
sector 3,1.3,1444.0,2,2,3,0 to 1 year old,1,medium,1,mid-rise
sector 106,1.75,1760.0,3,4,3+,5 to 10 year old,1,high,2,high-rise
sector 76,5.75,3680.0,4,4,3+,under construction,0,medium,2,high-rise
dlf phase 2,4.6,2855.62,4,4,3,10+ year old,1,high,1,mid-rise
sector 60,3.72,2045.0,3,4,3,1 to 5 year old,1,high,2,mid-rise
sector 60,5.49,2800.0,4,4,3,1 to 5 year old,1,high,2,high-rise
sector 53,8.75,3390.0,4,5,3+,10+ year old,1,high,2,mid-rise
sector 65,6.99,3600.0,4,4,3+,1 to 5 year old,1,high,2,low-rise
sector 83,2.7,2698.0,3,3,3+,1 to 5 year old,1,low,1,mid-rise
sector 106,2.55,1614.54,3,3,2,1 to 5 year old,0,medium,1,mid-rise
sector 49,2.9,2016.0,4,3,3+,5 to 10 year old,0,medium,1,mid-rise
sector 102,2.51,1852.0,3,3,3,0 to 1 year old,0,high,1,high-rise
sector 65,3.73,2804.5,4,4,3+,1 to 5 year old,1,high,2,mid-rise
sector 53,9.5,3850.0,3,4,3+,5 to 10 year old,1,high,2,mid-rise
sector 81,3.7,2132.0,3,3,2,1 to 5 year old,1,medium,2,high-rise
sector 106,2.88,1855.0,3,3,3,1 to 5 year old,0,medium,2,high-rise
sector 67,4.3,2411.0,3,3,3,1 to 5 year old,1,high,2,high-rise
sector 106,3.1,2502.5,3,3,3,0 to 1 year old,1,medium,2,high-rise
sector 85,2.55,1829.0,3,3,3,0 to 1 year old,0,medium,1,high-rise
sector 69,2.31,1704.0,3,3,3+,0 to 1 year old,0,high,1,high-rise
sector 66,4.05,2200.0,3,4,3,5 to 10 year old,1,high,2,mid-rise
sector 66,3.8,1950.0,3,3,2,1 to 5 year old,1,high,2,mid-rise
sector 69,2.41,1704.0,3,3,3+,1 to 5 year old,0,high,1,high-rise
sector 69,2.42,1704.0,3,3,3+,1 to 5 year old,0,high,1,high-rise
nirvana country,2.55,1629.0,3,2,3+,1 to 5 year old,0,medium,2,mid-rise
nirvana country,3.25,2066.0,3,4,2,5 to 10 year old,1,medium,2,mid-rise
sector 85,3.59,2599.0,4,4,3+,0 to 1 year old,0,medium,2,high-rise
sector 104,3.68,3150.0,4,4,3+,1 to 5 year old,1,medium,2,high-rise
sector 104,2.55,2290.0,3,4,3+,1 to 5 year old,1,medium,2,high-rise
sector 65,3.5,1828.0,3,3,3,1 to 5 year old,0,high,2,high-rise
sohna,1.45,1065.0,3,2,3+,0 to 1 year old,0,medium,1,low-rise
sector 36a,4.73,2538.0,3,3,2,0 to 1 year old,0,medium,2,high-rise
sector 22,5.4,3090.0,3,5,3+,1 to 5 year old,1,high,0,mid-rise
sector 36a,0.67,406.0,1,1,1,1 to 5 year old,0,medium,0,mid-rise
sector 86,0.5,475.7,1,1,1,1 to 5 year old,0,low,0,low-rise
sector 103,0.43,513.8696,1,1,2,1 to 5 year old,0,medium,1,mid-rise
sector 103,0.435,568.0,1,1,2,1 to 5 year old,0,medium,1,mid-rise
sector 88a,0.76,917.0928,2,2,2,1 to 5 year old,0,medium,0,mid-rise
sohna,0.6,786.9071999999999,2,2,2,1 to 5 year old,0,low,0,mid-rise
dlf phase 4,2.1,1105.0,2,2,2,5 to 10 year old,0,medium,1,high-rise
sohna,2.0,1457.0,2,2,3,0 to 1 year old,0,medium,2,mid-rise
sector 65,2.1,1020.0,2,2,2,5 to 10 year old,0,medium,1,mid-rise
sector 108,1.5,1283.0,2,3,3,1 to 5 year old,1,high,1,mid-rise
sector 108,1.43,1042.8906,2,3,3,1 to 5 year old,1,medium,2,mid-rise
sector 3,1.48,1444.0,2,2,3+,0 to 1 year old,0,high,1,mid-rise
sector 106,2.0,1366.0,2,2,3+,0 to 1 year old,0,high,1,mid-rise
sector 106,1.98,1366.0,2,2,3+,1 to 5 year old,0,medium,2,high-rise
sector 106,1.95,1160.149656,2,2,3+,1 to 5 year old,0,medium,1,high-rise
sector 90,0.74,690.0,2,2,1,1 to 5 year old,0,medium,1,mid-rise
sector 37c,1.15,1578.0,2,3,3,5 to 10 year old,0,medium,1,high-rise
sector 103,1.4,1315.0,2,2,3,1 to 5 year old,0,high,2,mid-rise
sector 103,1.44,1427.0,2,2,3+,1 to 5 year old,0,medium,2,mid-rise
sector 67a,2.55,1541.0,2,2,3,1 to 5 year old,0,medium,1,mid-rise
sector 66,2.25,1457.0,2,2,2,5 to 10 year old,1,high,2,mid-rise
sector 65,2.33,1261.0,2,2,3,0 to 1 year old,0,medium,2,high-rise
sector 65,2.55,1637.5,2,2,3,0 to 1 year old,0,medium,2,high-rise
sector 65,2.75,1450.0,2,2,3,1 to 5 year old,0,high,2,high-rise
sector 65,2.8,2152.72,2,2,3+,0 to 1 year old,0,medium,2,high-rise
sector 68,1.55,1222.0,2,2,2,0 to 1 year old,0,medium,1,high-rise
sector 68,1.75,1498.1,2,2,2,1 to 5 year old,0,high,1,high-rise
sector 68,1.6,1260.0,2,2,2,1 to 5 year old,0,high,1,high-rise
sector 107,1.45,1534.0,2,2,3,1 to 5 year old,0,high,1,mid-rise
sector 106,1.5,1966.7,2,2,3,0 to 1 year old,0,medium,1,high-rise
sector 106,1.5,1385.0,2,2,3+,1 to 5 year old,1,high,1,high-rise
sector 106,1.5,1385.0,2,2,3+,1 to 5 year old,0,high,1,high-rise
sector 48,2.2,1620.0,2,2,2,10+ year old,1,medium,1,mid-rise
sector 104,1.97,1550.0,2,2,2,1 to 5 year old,0,high,2,high-rise
sector 104,2.0,1550.0,2,2,2,1 to 5 year old,0,medium,2,high-rise
sector 104,2.34,1700.0,2,3,3,1 to 5 year old,1,medium,1,high-rise
sector 70a,0.69,839.4329999999999,2,2,1,1 to 5 year old,0,medium,1,mid-rise
sector 70a,0.695,900.0,2,2,1,1 to 5 year old,0,medium,1,mid-rise
sector 76,0.73,991.16,2,2,1,0 to 1 year old,0,medium,1,mid-rise
sector 70a,0.675,1000.0,2,2,1,1 to 5 year old,0,high,1,mid-rise
sector 70a,0.66,980.0,2,2,1,1 to 5 year old,0,medium,1,mid-rise
sector 70a,0.7,980.0,2,2,1,1 to 5 year old,0,medium,1,mid-rise
sector 70a,0.72,980.0,2,2,1,1 to 5 year old,0,medium,1,mid-rise
sector 70a,0.7,980.0,2,2,1,1 to 5 year old,0,medium,1,mid-rise
sector 70a,0.72,980.0,2,2,1,1 to 5 year old,0,medium,2,mid-rise
sector 67a,0.75,900.0,2,2,2,1 to 5 year old,0,medium,1,mid-rise
sector 67a,0.815,900.0,2,2,2,1 to 5 year old,0,high,1,mid-rise
sector 108,1.2,1422.0,2,2,2,1 to 5 year old,0,medium,1,mid-rise
sector 108,1.15,1467.0,2,2,2,1 to 5 year old,0,high,1,mid-rise
sector 108,1.15,1506.0,2,2,2,1 to 5 year old,0,high,2,mid-rise
sector 37d,1.15,1310.0,2,2,3,1 to 5 year old,0,medium,1,mid-rise
sector 37d,1.25,1380.0,2,2,3,1 to 5 year old,0,medium,1,mid-rise
sector 95,0.65,863.2605999999998,2,2,1,5 to 10 year old,0,medium,1,mid-rise
sector 103,1.05,1450.0,2,3,3+,1 to 5 year old,1,high,1,mid-rise
sector 102,1.7,1420.0,2,2,3,1 to 5 year old,0,medium,2,high-rise
sector 102,1.82,1215.0,2,2,3,1 to 5 year old,0,high,1,high-rise
sector 102,2.0,1368.0,2,2,3,0 to 1 year old,0,high,1,mid-rise
sector 102,2.0,1368.0,2,2,3,0 to 1 year old,0,high,1,mid-rise
sector 102,1.4,915.0,2,2,2,1 to 5 year old,0,medium,0,high-rise
sector 102,1.39,915.0,2,2,2,0 to 1 year old,0,high,1,high-rise
sector 67,0.77,738.4,2,2,1,1 to 5 year old,0,medium,2,mid-rise
sector 103,0.62,900.0,2,2,1,1 to 5 year old,0,medium,1,mid-rise
sector 107,0.55,1000.0,2,2,1,1 to 5 year old,0,low,3,mid-rise
sector 95a,0.62,914.1818,2,2,2,1 to 5 year old,0,medium,0,mid-rise
sector 84,1.6,1610.0,2,2,3,0 to 1 year old,0,medium,2,mid-rise
sector 84,1.65,1610.0,2,2,3,0 to 1 year old,0,medium,0,mid-rise
sector 84,1.43,1425.0,2,2,3,5 to 10 year old,0,high,2,mid-rise
sector 91,1.37,1404.0,2,2,3,1 to 5 year old,0,high,1,mid-rise
nirvana country,2.5,1795.0,2,2,3,5 to 10 year old,0,high,2,mid-rise
sector 82,1.54,1428.08,2,2,2,5 to 10 year old,0,high,2,mid-rise
sector 102,2.25,1689.0,3,3,2,5 to 10 year old,0,medium,0,high-rise
sector 102,2.55,1889.0,3,3,3,1 to 5 year old,1,medium,2,high-rise
sector 102,3.1,2579.0,3,4,3+,1 to 5 year old,1,medium,0,high-rise
sector 70a,3.6,2150.0,3,3,3,0 to 1 year old,0,medium,2,high-rise
sector 70a,3.4,2150.0,3,3,3,0 to 1 year old,1,high,2,high-rise
ardee city,3.7,2040.0,3,4,3+,1 to 5 year old,1,medium,1,mid-rise
sector 109,2.4,1745.0,3,3,3,1 to 5 year old,0,high,1,high-rise
sector 109,2.1,1750.0,3,3,3+,1 to 5 year old,0,medium,2,high-rise
sector 109,2.04,1750.0,3,3,3+,1 to 5 year old,0,medium,0,high-rise
sector 109,2.14,1750.0,3,3,3+,1 to 5 year old,0,high,1,high-rise
sector 104,2.6,2290.0,3,4,3+,1 to 5 year old,1,medium,2,high-rise
sector 104,2.65,2290.0,3,4,3+,1 to 5 year old,1,high,2,high-rise
sector 79,2.92,2015.0,3,3,3,0 to 1 year old,0,medium,0,mid-rise
sector 49,2.95,1759.0,3,4,3+,5 to 10 year old,0,medium,1,mid-rise
sector 49,3.18,1859.0,3,4,3+,5 to 10 year old,1,high,1,mid-rise
sector 48,3.0,1776.0,3,3,3+,5 to 10 year old,1,medium,1,mid-rise
sector 48,3.16,1815.0,3,3,3+,5 to 10 year old,1,high,2,mid-rise
sector 37d,2.2,2200.0,3,3,3+,1 to 5 year old,0,high,1,mid-rise
sector 37d,1.98,1895.0,3,3,3,1 to 5 year old,0,high,1,mid-rise
sector 109,2.6,2177.0,3,3,1,5 to 10 year old,0,medium,0,mid-rise
sector 70a,2.45,1976.0,3,3,3,1 to 5 year old,1,high,1,mid-rise
sector-33 sohna,4.45,2300.0,3,3,2,under construction,0,medium,5,low-rise
sector 109,2.2,1590.0,3,3,3,1 to 5 year old,1,high,1,mid-rise
sector 109,2.2,1590.0,3,3,3,1 to 5 year old,1,high,1,mid-rise
sector 59,5.85,2188.0,3,3,2,1 to 5 year old,0,high,2,high-rise
sector 59,5.5,2595.0,3,3,2,1 to 5 year old,1,high,2,high-rise
sector 102,2.95,2149.0,3,4,3+,1 to 5 year old,1,medium,2,high-rise
sector 102,3.05,2149.0,3,4,3+,1 to 5 year old,1,medium,1,high-rise
dhorka,1.21,1326.0,3,2,2,0 to 1 year old,0,medium,2,mid-rise
sector 90,1.88,1930.0,3,3,3+,1 to 5 year old,1,medium,1,mid-rise
sector 90,1.97,1720.0,3,3,3,1 to 5 year old,0,medium,1,high-rise
sector 82a,2.83,2086.0,3,4,3+,1 to 5 year old,1,medium,1,high-rise
sector 81,3.7,2100.0,3,4,3+,1 to 5 year old,1,medium,3,high-rise
sector 106,4.8,2450.0,3,3,2,under construction,0,high,2,high-rise
sector 102,1.8,1650.0,3,3,3,1 to 5 year old,1,high,1,mid-rise
sector 102,1.78,1650.0,3,3,3,1 to 5 year old,1,medium,2,mid-rise
sector 102,1.95,1650.0,3,3,3+,1 to 5 year old,1,high,0,mid-rise
sector 102,2.4,2000.0,3,4,2,1 to 5 year old,1,high,2,mid-rise
sector 102,2.4,2025.0,3,4,1,1 to 5 year old,1,high,1,mid-rise
sector 102,2.6,2025.0,3,4,1,1 to 5 year old,1,high,1,mid-rise
sector 65,2.5,1350.0,3,3,3,5 to 10 year old,0,medium,1,mid-rise
sector 65,2.55,1980.9,3,2,2,1 to 5 year old,1,high,2,mid-rise
sector 65,3.23,2000.0,3,3,3,5 to 10 year old,1,medium,2,mid-rise
sector 83,2.23,1900.0,3,3,3,1 to 5 year old,1,medium,1,mid-rise
sector 108,1.82,1400.7022,3,3,3+,1 to 5 year old,1,medium,2,mid-rise
sector 108,1.8,1988.0,3,3,3+,1 to 5 year old,1,medium,2,mid-rise
sector 108,1.85,1400.7022,3,3,3+,1 to 5 year old,1,high,1,mid-rise
sector 112,4.75,2802.0,3,3,3,0 to 1 year old,1,high,2,high-rise
sector 49,4.4,2556.0,3,3,3,under construction,0,low,0,high-rise
sector 3,1.99,2080.0,3,3,3,0 to 1 year old,1,medium,1,mid-rise
sector 106,2.8,1573.299224,3,3,3+,1 to 5 year old,0,medium,2,high-rise
sector 106,2.81,1855.0,3,3,3+,0 to 1 year old,0,high,2,high-rise
sector 106,2.9,1885.0,3,3,3+,0 to 1 year old,0,high,1,high-rise
sector 70,2.7,2150.0,3,4,3,5 to 10 year old,1,high,1,mid-rise
sector 70,2.78,2150.0,3,4,3,1 to 5 year old,1,high,2,mid-rise
sector 70,2.82,2190.0,3,4,3,1 to 5 year old,1,high,1,mid-rise
sector 37c,1.62,1790.0,3,3,3,0 to 1 year old,1,medium,1,mid-rise
sector 37c,1.8,2106.0,3,4,2,under construction,1,medium,1,mid-rise
sector 103,1.8,1790.0,3,3,3+,1 to 5 year old,0,medium,2,mid-rise
sector 103,2.2,1850.0,3,3,3+,1 to 5 year old,0,high,2,mid-rise
sector 103,2.25,1889.0,3,3,3+,1 to 5 year old,0,medium,1,mid-rise
sector 67a,3.1,2636.94,3,3,3,1 to 5 year old,0,medium,1,mid-rise
sector 67,4.5,2385.0,3,3,3,5 to 10 year old,1,high,2,high-rise
sector 67,4.4,2527.0,3,3,3,5 to 10 year old,1,high,2,high-rise
sector 70,2.5,2125.0,3,4,3+,0 to 1 year old,1,high,1,high-rise
sector 113,2.39,1579.0,3,2,2,0 to 1 year old,0,high,3,high-rise
sector 113,2.41,1579.0,3,2,2,0 to 1 year old,0,high,0,high-rise
sector 113,3.05,2216.0,3,4,3+,1 to 5 year old,1,medium,3,high-rise
sector 113,4.05,2691.0,3,3,3+,0 to 1 year old,1,medium,2,high-rise
sector 113,4.2,2691.0,3,3,3+,0 to 1 year old,1,high,2,high-rise
sector 111,3.1,1825.0,3,3,3,under construction,0,medium,1,high-rise
sector 65,3.35,1828.0,3,3,3,0 to 1 year old,0,medium,1,high-rise
sector 65,3.38,2595.76,3,3,3,0 to 1 year old,0,medium,2,high-rise
sector 65,3.8,2054.0,3,3,3+,1 to 5 year old,1,medium,1,high-rise
sector 68,2.65,1945.4,3,3,3,1 to 5 year old,0,high,1,high-rise
sector 77,2.85,2025.0,3,3,3,1 to 5 year old,1,medium,1,high-rise
sushant lok 2,2.5,2210.0,4,4,3+,10+ year old,0,medium,2,mid-rise
sector 113,1.95,1276.0,2,2,2,1 to 5 year old,0,medium,1,mid-rise
sector 109,2.5,2545.0,3,3,3,1 to 5 year old,1,high,2,mid-rise
sector 106,1.75,1760.0,3,4,3+,1 to 5 year old,1,high,2,high-rise
sector 103,1.5,1481.0,2,2,3,1 to 5 year old,0,high,2,mid-rise
sector 111,4.72,2950.0,4,5,3+,5 to 10 year old,1,medium,1,mid-rise
sector 112,8.25,4848.0,4,6,3+,1 to 5 year old,1,high,2,high-rise
sector 111,3.6,2200.0,3,4,2,0 to 1 year old,1,medium,2,mid-rise
sector 37d,1.15,1310.0,2,2,3,1 to 5 year old,0,medium,1,mid-rise
sector 90,2.0,1737.0,3,3,3+,1 to 5 year old,0,high,3,high-rise
sector 86,2.35,1929.0,3,3,3,5 to 10 year old,0,medium,1,mid-rise
sector 81,4.5,3470.0,4,6,2,1 to 5 year old,1,high,2,high-rise
sector 67,5.9,3230.0,4,4,3,5 to 10 year old,1,medium,0,high-rise
sector 68,1.6,1270.0,2,2,3,0 to 1 year old,0,high,2,mid-rise
sector 104,3.55,3150.0,4,4,3+,1 to 5 year old,1,high,3,high-rise
garauli khurd,1.65,1800.0,3,3,3+,1 to 5 year old,0,medium,3,mid-rise
sector 71,4.15,4900.0,5,4,3+,5 to 10 year old,1,medium,4,mid-rise
sector 113,1.9,1662.5,2,2,2,0 to 1 year old,0,medium,1,mid-rise
sector 95a,0.61,730.2633999999999,2,2,2,1 to 5 year old,0,medium,1,mid-rise
sector 103,1.57,1970.0,3,4,3+,0 to 1 year old,1,medium,1,mid-rise
sector 65,3.01,1433.0,2,2,3,1 to 5 year old,0,high,2,high-rise
sector 102,3.0,2149.0,3,4,3+,1 to 5 year old,1,high,3,high-rise
sector 102,1.85,1846.0,3,4,3,1 to 5 year old,0,high,2,mid-rise
sector 47,3.25,2027.0,3,4,3+,10+ year old,1,high,2,mid-rise
sector 66,4.1,1950.0,3,3,2,1 to 5 year old,1,high,2,mid-rise
dlf phase 2,4.6,2245.0,4,4,3,10+ year old,1,medium,1,mid-rise
sector 90,2.0,1930.0,3,3,3,5 to 10 year old,1,high,1,mid-rise
sector 106,1.65,1760.0,3,4,3+,1 to 5 year old,1,high,1,high-rise
sector 113,2.6,1973.75,3,3,3,1 to 5 year old,0,medium,2,mid-rise
sector 81,4.0,2100.0,3,4,3+,1 to 5 year old,1,medium,2,high-rise
sector 90,2.65,2225.0,4,4,3,1 to 5 year old,0,medium,0,high-rise
sector 90,2.05,1744.0,3,3,2,1 to 5 year old,0,medium,2,high-rise
sector 88a,2.1,1565.0,3,2,3+,0 to 1 year old,0,medium,1,high-rise
sector 79,2.46,2050.0,3,3,2,0 to 1 year old,0,medium,1,mid-rise
sector 108,2.7,1961.02,2,2,2,1 to 5 year old,0,medium,2,high-rise
sector 108,2.7,1381.0,2,2,2,0 to 1 year old,0,medium,2,high-rise
sector 108,2.2,2003.0,3,4,3+,1 to 5 year old,1,medium,2,mid-rise
sector 108,2.7,1961.02,2,2,2,1 to 5 year old,0,medium,2,high-rise
sector 79,2.49,2150.0,3,4,2,0 to 1 year old,1,medium,1,mid-rise
sector 107,1.75,1943.0,3,3,3,1 to 5 year old,0,medium,0,mid-rise
sector 108,1.95,1758.0,3,4,3,1 to 5 year old,1,medium,1,mid-rise
nirvana country,3.45,2050.0,3,4,2,10+ year old,1,high,2,mid-rise
sector 57,3.7,2587.0,3,4,3+,5 to 10 year old,1,high,2,mid-rise
sector 37d,1.61,1775.0,3,3,3+,1 to 5 year old,0,medium,2,mid-rise
sector 47,2.7,2200.0,3,4,3+,10+ year old,1,medium,1,mid-rise
nirvana country,2.0,1418.0,2,2,3+,10+ year old,0,medium,1,mid-rise
nirvana country,2.6,1815.0,3,3,3+,10+ year old,1,medium,1,mid-rise
nirvana country,2.7,1877.0,3,4,3+,10+ year old,1,medium,1,mid-rise
sector 45,2.6,2751.96,3,3,3+,10+ year old,1,medium,1,mid-rise
sector 59,5.0,2974.8999999999996,3,4,3+,1 to 5 year old,0,medium,2,high-rise
sector 65,16.0,6335.0,4,6,3+,5 to 10 year old,1,medium,2,high-rise
sector 85,2.45,2560.0,4,5,3+,1 to 5 year old,1,medium,2,mid-rise
sector 65,3.22,1650.0,3,3,3,5 to 10 year old,1,high,2,low-rise
sector 67a,2.15,1540.0,2,2,3+,5 to 10 year old,0,medium,1,mid-rise
sector 37d,1.7,1800.0,3,3,3,1 to 5 year old,0,high,2,mid-rise
sector 37d,1.42,1675.0,3,3,3+,0 to 1 year old,0,high,2,mid-rise
sector 103,0.91,644.54,3,2,3,1 to 5 year old,0,low,1,mid-rise
sector 104,2.65,2290.0,3,4,3+,5 to 10 year old,1,medium,1,high-rise
sector 99,3.35,2750.0,3,4,3+,1 to 5 year old,1,high,2,mid-rise
sector 102,3.2,2579.0,3,3,3,1 to 5 year old,1,high,2,high-rise
sector 104,1.95,1550.0,2,2,2,1 to 5 year old,0,medium,2,high-rise
sector 102,3.55,3198.0,4,5,3+,1 to 5 year old,0,medium,1,high-rise
sector 65,3.9,2004.0,3,3,3,0 to 1 year old,1,medium,2,high-rise
sector 62,3.35,1508.26,2,2,2,1 to 5 year old,0,medium,2,high-rise
sector 59,4.95,2295.0,3,3,3,1 to 5 year old,1,high,2,high-rise
sector 65,7.0,2979.0,3,3,3+,1 to 5 year old,1,medium,2,high-rise
sector 65,9.25,3799.0,3,3,3+,1 to 5 year old,1,medium,2,mid-rise
sector 70a,2.55,1830.0,3,3,3+,1 to 5 year old,1,high,1,mid-rise
sector 70a,1.85,1420.0,2,2,3,1 to 5 year old,0,high,1,mid-rise
sector 112,8.0,6525.0,5,5,3+,0 to 1 year old,0,medium,0,high-rise
sector 65,8.5,4366.0,4,5,3,1 to 5 year old,1,high,2,high-rise
sector 65,5.8,2979.0,3,3,1,1 to 5 year old,1,high,2,high-rise
sector 65,6.2,2979.0,3,3,3,1 to 5 year old,1,high,2,high-rise
sector 60,3.9,2403.0,3,4,3+,1 to 5 year old,1,high,2,mid-rise
sector 67,5.0,2606.0,3,3,3,1 to 5 year old,1,high,2,high-rise
sector 99,2.25,2365.0,4,4,3+,0 to 1 year old,1,high,2,mid-rise
sector 68,1.7,1260.0,2,2,2,1 to 5 year old,0,high,2,mid-rise
sector 56,2.35,1850.0,3,3,3,1 to 5 year old,0,medium,1,mid-rise
sector 56,1.49,1349.0,2,2,1,5 to 10 year old,0,medium,1,mid-rise
sector 82,2.87,2425.0,4,4,3,1 to 5 year old,1,high,1,mid-rise
sector 95a,0.575,730.2633999999999,2,2,2,1 to 5 year old,0,medium,1,mid-rise
sector 92,1.2,1326.0,3,2,3,1 to 5 year old,0,medium,1,mid-rise
dlf phase 5,4.0,1740.0,4,4,3,10+ year old,0,high,1,mid-rise
sector 99,4.2,3345.0,4,4,3,0 to 1 year old,1,high,2,mid-rise
sector 72,4.75,2625.0,4,5,3+,1 to 5 year old,1,high,2,high-rise
sector 65,2.5,1350.0,3,3,3+,1 to 5 year old,1,medium,1,mid-rise
