sector,price,super_area,bedrooms,bathroom,balcony,age_possession,servant_room,luxury_category,parking,building_type
sector 79,3.0,2272.0,3,3,2,under construction,1,high,2,mid-rise
sector 93,0.62,857.2113999999999,2,2,3,0 to 1 year old,0,medium,1,mid-rise
sector 102,3.8,3198.0,4,4,3,1 to 5 year old,1,high,2,high-rise
sector 65,2.24,1395.0,3,4,3,1 to 5 year old,1,medium,2,mid-rise
sector 113,2.71,2406.9,3,3,3+,under construction,1,medium,2,high-rise
dlf phase 5,3.25,1344.0,3,3,2,10+ year old,0,medium,1,mid-rise
sector 63,9.93,3950.0,4,6,3+,under construction,1,medium,3,high-rise
sector 89,4.1,2356.0,3,4,3+,under construction,1,medium,2,high-rise
sector-33 sohna,1.72,1310.0,3,2,3,1 to 5 year old,0,medium,1,low-rise
sector 92,0.7,915.9,3,2,2,1 to 5 year old,0,medium,1,mid-rise
sector 70a,0.705,601.0,2,2,1,5 to 10 year old,0,medium,1,mid-rise
wazirabad,2.5,2650.0,4,4,3+,5 to 10 year old,0,medium,2,mid-rise
sector 36 sohna,1.05,1535.02,3,2,3,0 to 1 year old,0,low,1,low-rise
sector 36 sohna,1.1,1590.4,3,2,3,0 to 1 year old,0,low,0,low-rise
sector 62,6.0,2588.79,3,3,3+,1 to 5 year old,1,medium,2,high-rise
sector 37d,4.25,2623.0,3,4,3,under construction,1,medium,2,high-rise
sector 104,1.65,1099.0,2,2,2,under construction,0,medium,1,high-rise
sohna,1.75,1527.0,3,3,2,0 to 1 year old,0,medium,2,mid-rise
sector 49,6.8,2777.0,4,4,1,under construction,0,medium,2,high-rise
sector 71,2.1,1620.0,3,3,3+,5 to 10 year old,0,medium,1,mid-rise
sector 108,2.0,2450.0,2,2,3+,5 to 10 year old,0,medium,4,mid-rise
sector 48,3.85,1418.0,2,2,3+,5 to 10 year old,0,high,2,mid-rise
sector 93,0.65,800.0,2,2,3,0 to 1 year old,0,medium,1,mid-rise
sector 90,1.69,2769.0,3,4,3,0 to 1 year old,1,medium,2,mid-rise
sector 3,1.6,1295.8351999999998,2,2,3,under construction,0,high,1,mid-rise
sector 99a,0.52,632.6525999999999,2,2,1,1 to 5 year old,0,low,1,mid-rise
sector 62,10.16,5224.0,4,7,3+,under construction,0,medium,2,high-rise
sector 68,2.5,2321.7,3,3,3,0 to 1 year old,0,low,0,mid-rise
sector 89,1.9,2125.0,4,4,3,1 to 5 year old,1,high,2,mid-rise
sector 36 sohna,1.15,1400.0,3,2,2,0 to 1 year old,0,medium,1,low-rise
nirvana country,2.67,1816.0,3,2,2,5 to 10 year old,1,medium,3,mid-rise
sector 79,2.05,2198.16,3,3,2,under construction,0,medium,1,low-rise
sector 69,2.9,1600.0,3,3,2,5 to 10 year old,0,medium,2,mid-rise
sector 37d,1.8,1520.0,3,2,3+,1 to 5 year old,0,medium,1,mid-rise
sector 37d,4.34,3724.66,3,3,3,under construction,0,medium,0,high-rise
sector 108,1.45,1283.0,2,3,3,1 to 5 year old,1,medium,2,mid-rise
sector 102,0.76,850.0,3,3,2,1 to 5 year old,0,high,1,mid-rise
sector 62,3.6,1242.5,2,2,3,under construction,0,medium,2,mid-rise
sector 86,1.15,1690.0,3,2,1,0 to 1 year old,0,medium,1,mid-rise
sector 68,2.2,2139.94,2,2,3,1 to 5 year old,0,medium,1,mid-rise
sector 95a,0.6,729.88,2,3,2,1 to 5 year old,0,low,0,mid-rise
sector 77,1.32,1342.0,2,2,2,1 to 5 year old,0,medium,0,mid-rise
sector 66,2.91,1895.0,3,4,3,1 to 5 year old,1,medium,2,mid-rise
sector 93,1.7,1805.0,3,4,3,5 to 10 year old,0,high,2,mid-rise
sohna,0.67,583.0,2,2,2,1 to 5 year old,0,medium,0,mid-rise
sector 86,0.67,856.8421999999999,2,2,2,1 to 5 year old,0,medium,0,mid-rise
sector 67a,0.85,839.2199999999999,2,2,1,0 to 1 year old,0,medium,1,mid-rise
sector 89,1.78,1494.0,3,3,2,0 to 1 year old,0,medium,1,low-rise
sector 81,1.25,1526.5,2,2,2,0 to 1 year old,0,medium,1,low-rise
sector 81,0.405,366.0,1,1,2,5 to 10 year old,0,low,1,low-rise
sector 113,3.45,2225.0,3,3,3,5 to 10 year old,0,medium,2,high-rise
sector 102,2.65,1852.0,3,3,2,0 to 1 year old,0,medium,1,high-rise
sector 69,2.5,2419.68,3,3,3+,0 to 1 year old,0,medium,1,high-rise
old dlf colony,1.25,1775.0,3,3,1,1 to 5 year old,0,low,1,low-rise
sector 106,6.5,4366.5,4,4,3+,under construction,0,low,0,high-rise
sector-33 sohna,1.57,2372.8199999999997,3,2,3,under construction,0,high,1,mid-rise
sector 104,3.55,2861.25,4,4,3,under construction,0,medium,0,high-rise
sector-33 sohna,1.7,1556.0,3,2,3+,under construction,0,medium,1,mid-rise
sector 82,3.3,2535.0,4,4,3+,5 to 10 year old,1,high,1,mid-rise
sector 37c,1.95,1840.0,3,3,3,under construction,0,medium,1,mid-rise
sector 83,1.55,1207.0,3,2,2,under construction,0,medium,2,high-rise
sector 107,1.64,2181.12,2,2,3+,1 to 5 year old,0,medium,1,mid-rise
sector 70a,2.11,2504.88,3,2,0,1 to 5 year old,0,medium,1,low-rise
sohna,0.45,664.56,2,2,2,1 to 5 year old,0,medium,0,mid-rise
sector 48,3.25,1880.0,3,3,3,10+ year old,1,medium,2,mid-rise
nawada fatehpur,2.3,1929.0,3,3,1,1 to 5 year old,0,high,2,mid-rise
sector 49,4.9,1993.0,3,3,2,under construction,0,high,3,high-rise
sector 77,2.85,2000.0,3,3,3+,1 to 5 year old,1,medium,1,high-rise
sector 70a,2.5,2016.4,2,2,3,1 to 5 year old,0,high,1,mid-rise
sector 49,6.25,2085.2842,4,4,3,under construction,1,medium,2,high-rise
sector 79,1.85,1945.0,3,3,3,1 to 5 year old,0,medium,1,mid-rise
sector-2 sohna,0.78,1200.0,2,2,3,under construction,0,medium,1,mid-rise
sector 89,0.85,899.8824,2,2,3,under construction,0,medium,0,high-rise
sector 83,1.8,1435.0,2,2,2,5 to 10 year old,0,medium,1,mid-rise
sector 102,2.59,1827.0,3,3,3,0 to 1 year old,0,medium,1,mid-rise
sector 81,6.0,5964.0,5,6,3+,1 to 5 year old,0,medium,0,high-rise
sector 107,0.55,925.0,2,2,2,1 to 5 year old,0,medium,1,mid-rise
sector 93,0.65,857.2113999999999,2,2,3,0 to 1 year old,0,medium,2,mid-rise
sector 79,2.25,2357.2,3,3,3,under construction,0,low,1,low-rise
sector 109,1.92,2177.0,3,4,3,5 to 10 year old,1,high,2,mid-rise
sector 67,3.8,2685.0,4,5,3,0 to 1 year old,1,medium,4,mid-rise
sector 89,1.41,1566.26,2,2,2,under construction,0,medium,1,low-rise
sector 107,0.58,694.38,2,2,2,5 to 10 year old,0,low,0,mid-rise
sector 80,1.71,1821.0,3,3,3+,5 to 10 year old,0,medium,1,mid-rise
sector 37d,2.2,1831.0,3,3,3,1 to 5 year old,0,medium,4,mid-rise
sector 95,1.75,1750.0,3,3,3+,1 to 5 year old,0,medium,1,mid-rise
sector 72,2.25,2085.0,3,4,3+,5 to 10 year old,1,high,2,mid-rise
sector 65,2.85,1959.6,3,3,3+,0 to 1 year old,1,medium,0,low-rise
sector 99,4.25,3360.0,4,4,3+,0 to 1 year old,1,medium,3,mid-rise
sector 89,0.7,835.7836,2,2,3,1 to 5 year old,0,low,0,mid-rise
sector 59,9.4,3600.0,4,4,3+,1 to 5 year old,0,high,3,high-rise
sector 59,6.7,4295.5,3,4,3+,1 to 5 year old,1,high,2,high-rise
sector 47,1.5,973.0,2,2,2,5 to 10 year old,0,medium,0,mid-rise
sector 55,2.45,3053.0,4,4,3,5 to 10 year old,0,medium,2,mid-rise
sector 3,1.5,1444.0,2,2,3,0 to 1 year old,0,medium,1,mid-rise
sector 79,1.65,1351.0,2,2,3,1 to 5 year old,0,medium,1,mid-rise
sector 90,0.71,626.0,2,2,1,1 to 5 year old,0,low,2,mid-rise
sector 84,0.83,1125.0,2,2,2,1 to 5 year old,0,medium,0,mid-rise
sector 102,2.38,2025.0,3,4,3+,1 to 5 year old,1,high,1,mid-rise
sector 104,1.8,1929.78,3,2,2,under construction,0,medium,1,high-rise
sector 95,0.62,916.3118,2,2,2,1 to 5 year old,0,medium,1,mid-rise
sector 65,3.3,1828.0,3,3,3,0 to 1 year old,0,medium,1,high-rise
sector 65,2.33,1261.0,2,2,3,0 to 1 year old,0,medium,1,high-rise
sector 65,3.31,1828.0,3,3,3,0 to 1 year old,0,medium,1,high-rise
sector 65,3.8,2054.0,3,3,3,5 to 10 year old,1,medium,1,high-rise
sector 104,3.5,2450.0,3,4,3,1 to 5 year old,1,medium,1,high-rise
sector 65,3.77,2040.0,3,3,3,0 to 1 year old,1,medium,1,high-rise
badha,2.35,1929.0,3,3,1,1 to 5 year old,0,medium,2,mid-rise
sector 108,2.65,1381.0,2,2,2,1 to 5 year old,0,high,1,high-rise
sector 61,2.65,1700.0,3,3,3,1 to 5 year old,0,medium,1,high-rise
dlf phase 4,5.5,2040.0,3,4,3,10+ year old,1,high,2,mid-rise
sector 54,9.45,3402.0,4,5,3,10+ year old,1,high,2,mid-rise
sector 54,7.95,2318.0,3,3,3,10+ year old,1,high,2,high-rise
sector 68,1.51,1245.0,2,2,3,0 to 1 year old,0,high,1,high-rise
sector 106,2.6,2307.5,3,2,3+,0 to 1 year old,0,high,2,high-rise
sector-33 sohna,2.08,2834.3199999999997,3,4,3+,0 to 1 year old,0,high,2,mid-rise
sector 37c,1.52,1820.0,3,3,3,0 to 1 year old,0,high,2,mid-rise
sector 37d,1.52,1770.0,3,3,3+,1 to 5 year old,0,medium,1,mid-rise
sector 53,7.0,2645.0,3,4,3+,5 to 10 year old,1,high,1,mid-rise
sector 53,9.0,3390.0,4,5,3+,5 to 10 year old,1,high,2,mid-rise
sector 53,6.5,3495.0,4,5,3+,5 to 10 year old,1,high,2,mid-rise
sector 85,2.9,3023.18,3,4,3+,0 to 1 year old,0,high,2,high-rise
sector 37d,1.65,1520.0,3,2,3+,0 to 1 year old,0,high,2,mid-rise
sector 37d,1.06,1380.0,2,2,3,0 to 1 year old,0,high,2,mid-rise
sector 99,1.8,1890.0,3,4,3+,0 to 1 year old,1,high,3,mid-rise
sector 67,6.1,2847.0,4,5,3+,5 to 10 year old,1,high,2,mid-rise
sector 61,2.85,2199.58,3,3,3,1 to 5 year old,0,medium,1,low-rise
sector 61,2.8,1627.0,3,3,3+,1 to 5 year old,0,medium,2,low-rise
sector 102,3.5,3198.0,4,4,3+,1 to 5 year old,1,high,2,high-rise
sector 81,5.1,2872.0,4,4,3+,1 to 5 year old,1,high,3,high-rise
sector 67a,2.01,1485.0,2,2,3+,5 to 10 year old,0,medium,1,mid-rise
sector 81,3.95,2982.0,3,3,3+,5 to 10 year old,0,medium,2,high-rise
sector 69,2.35,1704.0,3,3,3+,0 to 1 year old,0,high,2,high-rise
sector 1a imt manesar,1.4,1959.0,3,4,2,1 to 5 year old,1,medium,1,mid-rise
sector 112,4.2,2441.0,2,2,2,1 to 5 year old,0,high,1,high-rise
sector 113,3.8,2691.0,3,4,3,0 to 1 year old,1,medium,1,high-rise
sector 107,1.38,1534.0,2,2,3,1 to 5 year old,0,medium,1,mid-rise
sector 90,2.49,2364.0,4,4,3+,1 to 5 year old,1,medium,1,mid-rise
sector 102,1.95,1650.0,3,3,3,5 to 10 year old,0,medium,1,mid-rise
sector 102,1.9,1650.0,3,3,3,1 to 5 year old,1,high,1,mid-rise
sector 113,2.35,1573.0,2,2,3,1 to 5 year old,0,medium,1,high-rise
sector 109,7.9,3493.0,4,5,3+,1 to 5 year old,1,high,2,low-rise
sector 108,2.3,2003.0,3,4,3+,1 to 5 year old,1,high,1,mid-rise
sector 104,3.5,2450.0,3,4,3+,1 to 5 year old,1,medium,2,high-rise
sector 61,3.2,1795.0,3,3,3,5 to 10 year old,0,high,1,high-rise
sector 66,7.6,3758.0,4,4,3+,1 to 5 year old,1,high,2,mid-rise
sector 81,0.88,1043.7,3,2,3,5 to 10 year old,0,medium,1,mid-rise
sector 81,0.45,422.0,1,2,2,5 to 10 year old,0,medium,1,mid-rise
sector 81,0.75,633.0,2,2,1,5 to 10 year old,0,medium,1,mid-rise
sector 81,0.69,657.0,2,2,1,5 to 10 year old,0,medium,1,mid-rise
sector 81,0.68,617.0,2,2,1,5 to 10 year old,0,medium,1,mid-rise
sector 1a imt manesar,1.4,2250.0,3,3,3,5 to 10 year old,1,medium,1,mid-rise
sector 72,6.05,3300.0,4,5,3+,1 to 5 year old,1,high,2,mid-rise
sector 83,1.85,1735.0,3,3,2,5 to 10 year old,0,medium,1,mid-rise
