,link,address,price,super_area,bedrooms,bathroom,balcony,additional_rooms,age_possession,floor,furnishing_type,facing,num_parking,features
61,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-soulitude-sector-89-gurgaon-1494-sq-ft-spid-T81429241,"M3M Soulitude
Sector 89, Gurgaon",1.65 Cr,2121.48,3 Bedrooms,3 Bathrooms,2 Balconies,Pooja Room,0 to 1 Year Old,1st   of 4 Floors,Unfurnished,East,1 Covered,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Visitor Parking', 'Natural Light', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
62,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shree-vardhman-mantra-sector-67-gurgaon-800-sq-ft-spid-D81428539,"Shree Vardhman Mantra
Sector 67, Gurgaon",85 Lac,800.0,2 Bedrooms,2 Bathrooms,1 Balcony,,1 to 5 Year Old,7th   of 13 Floors,Semifurnished,North-East,1 Open,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
63,https://www.99acres.com/5-bhk-bedroom-apartment-flat-for-sale-in-tulip-ivory-sector-70-gurgaon-3850-sq-ft-spid-W81427813,"Tulip Ivory
Sector 70, Gurgaon",4.6 Cr,3850.0,5 Bedrooms,6 Bathrooms,3+ Balconies,Servant Room,1 to 5 Year Old,11st   of 12 Floors,Semifurnished,North-East,2 Covered,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']"
64,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-gls-arawali-homes-sohna-gurgaon-746-sq-ft-spid-F81122117,"GLS Arawali Homes
Sohna, Gurgaon",57 Lac,746.37,3 Bedrooms,2 Bathrooms,1 Balcony,Others,1 to 5 Year Old,11st   of 13 Floors,Semifurnished,North-East,,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
65,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sector-14-gurgaon-1250-sq-ft-spid-P81426735,"Riddhi Siddhi Apartments, sector 14, Gurgaon
Sector 14, Gurgaon",1.2 Cr,1775.0,3 Bedrooms,3 Bathrooms,3+ Balconies,,1 to 5 Year Old,1st   of 4 Floors,Semifurnished,North-East,"1 Covered, 1 Open","['Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']"
66,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-paras-dews-sector-106-gurgaon-1665-sq-ft-spid-L81425931,"Paras Dews
Sector 106, Gurgaon",1.73 Cr,1665.0,3 Bedrooms,3 Bathrooms,3+ Balconies,,1 to 5 Year Old,14th   of 24 Floors,Semifurnished,North-East,1 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
67,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-express-greens-sector-1a-imt-manesar-gurgaon-2375-sq-ft-spid-K81397549,"DLF Express Greens
Sector 1A IMT Manesar, Gurgaon",2.5 Cr,3372.5,4 Bedrooms,4 Bathrooms,3+ Balconies,Servant Room,0 to 1 Year Old,19th   of 20 Floors,Furnished,East,2 Covered,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
68,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-park-place-sector-54-gurgaon-1983-sq-ft-spid-K81425255,"DLF Park Place
Sector 54, Gurgaon",7.5 Cr,2815.8599999999997,3 Bedrooms,3 Bathrooms,3 Balconies,Servant Room,10+ Year Old,28th   of 30 Floors,Furnished,,2 Covered,"['Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
69,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-global-prime-sector-63a-gurgaon-650-sq-ft-spid-Q81410561,"Signature Global Prime
Sector 63A, Gurgaon",82 Lac,650.0,2 Bedrooms,2 Bathrooms,2 Balconies,Others,0 to 1 Year Old,8th   of 21 Floors,Unfurnished,North,1 Open,"['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
70,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-trisara-our-homes-3-sector-2-sohna-gurgaon-629-sq-ft-spid-A80926631,"Trisara Our Homes 3
Sector-2 Sohna, Gurgaon",50 Lac,893.18,2 Bedrooms,2 Bathrooms,1 Balcony,Store Room,1 to 5 Year Old,5th   of 8 Floors,Semifurnished,North-East,1 Open,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Bank Attached Property', 'Security Personnel', 'Natural Light', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
