,link,address,price,super_area,bedrooms,bathroom,balcony,additional_rooms,age_possession,floor,furnishing_type,facing,num_parking,features
3606,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-conscient-heritage-max-sector-102-gurgaon-2149-sq-ft-spid-G81009341,"Conscient Heritage Max
Sector 102, Gurgaon",3 Cr,2149.0,3 Bedrooms,4 Bathrooms,3+ Balconies,"Study Room,Servant Room",1 to 5 Year Old,17th   of 25 Floors,Semifurnished,North-East,"2 Covered, 1 Open","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
3607,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-gurgaon-greens-sector-102-gurgaon-1300-sq-ft-r1-spid-D78867065,"Emaar Gurgaon Greens
Sector 102, Gurgaon",1.85 Cr,1846.0,3 Bedrooms,4 Bathrooms,3 Balconies,,1 to 5 Year Old,7th   of 14 Floors,Semifurnished,North,"1 Covered, 1 Open","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
3608,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-unitech-uniworld-gardens-sector-47-gurgaon-2027-sq-ft-spid-D79773681,"Unitech Uniworld Gardens
Sector 47, Gurgaon",3.25 Cr,2027.0,3 Bedrooms,4 Bathrooms,3+ Balconies,Servant Room,10+ Year Old,9th   of 19 Floors,Semifurnished,North-East,2 Covered,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
3609,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-mgf-the-palm-drive-sector-66-gurgaon-1950-sq-ft-spid-G80158047,"Emaar MGF The Palm Drive
Sector 66, Gurgaon",4.1 Cr,1950.0,3 Bedrooms,3 Bathrooms,2 Balconies,Servant Room,1 to 5 Year Old,8th   of 17 Floors,Semifurnished,South-East,"1 Covered, 1 Open","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
3610,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-belvedere-towers-dlf-phase-2-gurgaon-2245-sq-ft-spid-O80713955,"DLF Belvedere Towers
DLF Phase 2, Gurgaon",4.6 Cr,2245.0,4 Bedrooms,4 Bathrooms,3 Balconies,Servant Room,10+ Year Old,11st   of 20 Floors,Semifurnished,South-East,1 Open,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
3611,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-new-town-heights-1-sector-90-gurgaon-1930-sq-ft-spid-N79667065,"DLF New Town Heights 1
Sector 90, Gurgaon",2 Cr,1930.0,3 Bedrooms,3 Bathrooms,3 Balconies,"Pooja Room,Servant Room",5 to 10 Year Old,4th   of 19 Floors,Semifurnished,North,1 Open,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
3612,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-paras-dews-sector-106-gurgaon-1760-sq-ft-spid-D80675023,"Paras Dews
Sector 106, Gurgaon",1.65 Cr,1760.0,3 Bedrooms,4 Bathrooms,3+ Balconies,Servant Room,1 to 5 Year Old,16th   of 24 Floors,Semifurnished,South-West,1 Covered,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
3613,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-la-vida-by-tata-housing-sector-113-gurgaon-1579-sq-ft-spid-P81470197,"La Vida by Tata Housing
Sector 113, Gurgaon",2.6 Cr,1973.75,3 Bedrooms,3 Bathrooms,3 Balconies,,1 to 5 Year Old,10th   of 14 Floors,Semifurnished,West,"1 Covered, 1 Open","['Power Back-up', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
3614,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-ultima-sector-81-gurgaon-2100-sq-ft-spid-E81424493,"DLF The Ultima
Sector 81, Gurgaon",4 Cr,2100.0,3 Bedrooms,4 Bathrooms,3+ Balconies,"Servant Room,Pooja Room",1 to 5 Year Old,9th   of 29 Floors,Semifurnished,East,2 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
3615,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-regal-gardens-sector-90-gurgaon-2225-sq-ft-spid-K81405483,"DLF Regal Gardens
Sector 90, Gurgaon",2.65 Cr,2225.0,4 Bedrooms,4 Bathrooms,3 Balconies,,1 to 5 Year Old,10th   of 29 Floors,,,,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
3616,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-regal-gardens-sector-90-gurgaon-1744-sq-ft-spid-S81405427,"DLF Regal Gardens
Sector 90, Gurgaon",2.05 Cr,1744.0,3 Bedrooms,3 Bathrooms,2 Balconies,Pooja Room,1 to 5 Year Old,14th   of 29 Floors,Semifurnished,,"1 Covered, 1 Open","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
3617,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ashiana-the-center-court-sector-88a-gurgaon-1565-sq-ft-spid-I81065091,"Ashiana The Center Court
Sector 88A, Gurgaon",2.1 Cr,1565.0,3 Bedrooms,2 Bathrooms,3+ Balconies,,0 to 1 Year Old,Ground of 29 Floors,Semifurnished,East,1 Covered,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Fitness Centre / GYM', 'Club house / Community Center']"
3619,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bestech-altura-sector-79-gurgaon-2050-sq-ft-spid-T80958625,"Bestech Altura
Sector 79, Gurgaon",2.46 Cr,2050.0,3 Bedrooms,3 Bathrooms,2 Balconies,Others,0 to 1 Year Old,9th   of 20 Floors,Semifurnished,East,1 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
3620,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-1381-sq-ft-spid-U80768245,"Sobha City
Sector 108, Gurgaon",2.7 Cr,1961.02,2 Bedrooms,2 Bathrooms,2 Balconies,Others,1 to 5 Year Old,5th   of 24 Floors,Semifurnished,North-East,"1 Covered, 1 Open","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
3621,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-1381-sq-ft-spid-A80286877,"Sobha City
Sector 108, Gurgaon",2.7 Cr,1381.0,2 Bedrooms,2 Bathrooms,2 Balconies,Study Room,0 to 1 Year Old,7th   of 24 Floors,Semifurnished,North-East,"1 Covered, 1 Open","['Security / Fire Alarm', 'Power Back-up', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
3622,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-experion-the-heartsong-sector-108-gurgaon-2003-sq-ft-spid-Z80278939,"Experion The Heartsong
Sector 108, Gurgaon",2.2 Cr,2003.0,3 Bedrooms,4 Bathrooms,3+ Balconies,Servant Room,1 to 5 Year Old,8th   of 14 Floors,Semifurnished,North-West,"1 Covered, 1 Open","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
3623,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-1381-sq-ft-spid-J79819605,"Sobha City
Sector 108, Gurgaon",2.7 Cr,1961.02,2 Bedrooms,2 Bathrooms,2 Balconies,,1 to 5 Year Old,3rd   of 24 Floors,Semifurnished,North-East,"1 Covered, 1 Open","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
3624,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bestech-altura-sector-79-gurgaon-2150-sq-ft-spid-U79407257,"Bestech Altura
Sector 79, Gurgaon",2.49 Cr,2150.0,3 Bedrooms,4 Bathrooms,2 Balconies,Servant Room,0 to 1 Year Old,7th   of 20 Floors,Semifurnished,East,1 Covered,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Separate entry for servant room', 'No open drainage around', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
3625,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-woodshire-sector-107-gurgaon-1943-sq-ft-spid-I79105801,"M3M Woodshire
Sector 107, Gurgaon",1.75 Cr,1943.0,3 Bedrooms,3 Bathrooms,3 Balconies,,1 to 5 Year Old,4th   of 14 Floors,Semifurnished,North,,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
3626,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-experion-the-heartsong-sector-108-gurgaon-1758-sq-ft-spid-M79042907,"Experion The Heartsong
Sector 108, Gurgaon",1.95 Cr,1758.0,3 Bedrooms,4 Bathrooms,3 Balconies,Servant Room,1 to 5 Year Old,12nd   of 14 Floors,Semifurnished,East,1 Covered,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Water Storage', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
3627,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-unitech-escape-nirvana-country-gurgaon-2050-sq-ft-spid-M79286597,"Unitech Escape
Nirvana Country, Gurgaon",3.45 Cr,2050.0,3 Bedrooms,4 Bathrooms,2 Balconies,"Servant Room,Pooja Room",10+ Year Old,4th   of 19 Floors,Semifurnished,East,2 Covered,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
3628,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bptp-freedom-park-life-sector-57-gurgaon-2587-sq-ft-spid-R79225657,"BPTP Freedom Park Life
Sector 57, Gurgaon",3.7 Cr,2587.0,3 Bedrooms,4 Bathrooms,3+ Balconies,"Study Room,Servant Room",5 to 10 Year Old,4th   of 18 Floors,Semifurnished,East,"1 Covered, 1 Open","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
3629,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ramprastha-primera-sector-37d-gurgaon-1775-sq-ft-spid-F80445535,"Ramprastha Primera
Sector 37D, Gurgaon",1.61 Cr,1775.0,3 Bedrooms,3 Bathrooms,3+ Balconies,,1 to 5 Year Old,12nd   of 22 Floors,,East,2 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
3630,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-golden-apartment-sector-47-gurgaon-2200-sq-ft-spid-X81465791,"Golden Apartment
Sector 47, Gurgaon",2.7 Cr,2200.0,3 Bedrooms,4 Bathrooms,3+ Balconies,Servant Room,10+ Year Old,7th   of 8 Floors,Furnished,North-East,1 Covered,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Rain Water Harvesting']"
3631,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-unitech-fresco-nirvana-country-gurgaon-1418-sq-ft-spid-E81467449,"Unitech Fresco
Nirvana Country, Gurgaon",2 Cr,1418.0,2 Bedrooms,2 Bathrooms,3+ Balconies,,10+ Year Old,14th   of 19 Floors,Furnished,North,1 Covered,"['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Piped-gas', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
3632,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-unitech-fresco-nirvana-country-gurgaon-1815-sq-ft-spid-Q81467169,"Unitech Fresco
Nirvana Country, Gurgaon",2.6 Cr,1815.0,3 Bedrooms,3 Bathrooms,3+ Balconies,Servant Room,10+ Year Old,15th   of 19 Floors,Furnished,East,1 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
3633,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-unitech-fresco-nirvana-country-gurgaon-1877-sq-ft-spid-X81467333,"Unitech Fresco
Nirvana Country, Gurgaon",2.7 Cr,1877.0,3 Bedrooms,4 Bathrooms,3+ Balconies,Servant Room,10+ Year Old,5th   of 19 Floors,Furnished,North,1 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
3634,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sector-45-gurgaon-1938-sq-ft-spid-Y81466201,"The Royal pridency CGHS
Sector 45, Gurgaon",2.6 Cr,2751.96,3 Bedrooms,3 Bathrooms,3+ Balconies,Servant Room,10+ Year Old,1st   of 8 Floors,Furnished,West,1 Covered,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']"
3635,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-frontier-sector-80-gurgaon-2262-sq-ft-spid-U81228709,"Godrej Frontier
Sector 80, Gurgaon",Price on Request,2262.0,3 Bedrooms,4 Bathrooms,2 Balconies,Servant Room,10+ Year Old,14th   of 18 Floors,Semifurnished,East,1 Covered,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
3636,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-conscient-elevate-sector-59-gurgaon-2095-sq-ft-spid-B81337249,"Conscient Elevate
Sector 59, Gurgaon",5 Cr,2974.8999999999996,3 Bedrooms,4 Bathrooms,3+ Balconies,Study Room,1 to 5 Year Old,12nd   of 33 Floors,Unfurnished,North-East,2 Covered,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']"
3637,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-m3m-st-andrews-sector-65-gurgaon-6335-sq-ft-spid-K81207081,"M3M St Andrews
Sector 65, Gurgaon",16 Cr,6335.0,4 Bedrooms,6 Bathrooms,3+ Balconies,"Pooja Room,Servant Room",5 to 10 Year Old,22nd   of 33 Floors,Semifurnished,,2 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Centrally Air Conditioned', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Club house / Community Center']"
3638,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-orris-aster-court-premier-sector-85-gurgaon-2560-sq-ft-spid-T80798955,"Orris Aster Court Premier
Sector 85, Gurgaon",2.45 Cr,2560.0,4 Bedrooms,5 Bathrooms,3+ Balconies,Servant Room,1 to 5 Year Old,9th   of 12 Floors,Furnished,,2 Covered,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM']"
3639,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-mgf-emerald-floors-premier-sector-65-gurgaon-1650-sq-ft-spid-D80199093,"Emaar MGF Emerald Floors Premier
Sector 65, Gurgaon",3.22 Cr,1650.0,3 Bedrooms,3 Bathrooms,3 Balconies,"Study Room,Servant Room",5 to 10 Year Old,3rd   of 4 Floors,Semifurnished,East,"1 Covered, 1 Open","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
3640,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ireo-the-corridors-sector-67a-gurgaon-1540-sq-ft-r13-spid-C47079671,"Ireo The Corridors
Sector 67A, Gurgaon",2.15 Cr,1540.0,2 Bedrooms,2 Bathrooms,3+ Balconies,Study Room,5 to 10 Year Old,5th   of 14 Floors,Semifurnished,North-West,1 Covered,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Centrally Air Conditioned', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
3642,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ramprastha-primera-sector-37d-gurgaon-1800-sq-ft-spid-X81370915,"Ramprastha Primera
Sector 37D, Gurgaon",1.7 Cr,1800.0,3 Bedrooms,3 Bathrooms,3 Balconies,Store Room,1 to 5 Year Old,5th   of 22 Floors,Semifurnished,East,"1 Covered, 1 Open","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
3643,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ramprastha-the-edge-towers-sector-37d-gurgaon-1675-sq-ft-spid-N81366881,"Ramprastha The Edge Towers
Sector 37D, Gurgaon",1.42 Cr,1675.0,3 Bedrooms,3 Bathrooms,3+ Balconies,,0 to 1 Year Old,4th   of 19 Floors,Unfurnished,West,"1 Covered, 1 Open","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
3645,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-signature-global-grand-iva-sector-103-gurgaon-645-sq-ft-spid-X80100821,"Signature Global Grand IVA
Sector 103, Gurgaon",91 Lac,644.54,3 Bedrooms,2 Bathrooms,3 Balconies,,1 to 5 Year Old,10th   of 14 Floors,Unfurnished,,1 Open,"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Park', 'Shopping Centre']"
